ticknumber;food_count
0;100
1;199
2;299
3;399
4;496
5;595
6;694
7;794
8;891
9;989
10;1085
11;1183
12;1278
13;1375
14;1471
15;1570
16;1665
17;1759
18;1854
19;1950
20;2047
21;2140
22;2232
23;2327
24;2418
25;2510
26;2602
27;2691
28;2779
29;2867
30;2958
31;3047
32;3138
33;3225
34;3314
35;3404
36;3490
37;3581
38;3668
39;3758
40;3841
41;3925
42;4001
43;4086
44;4163
45;4244
46;4324
47;4411
48;4493
49;4579
50;4662
51;4741
52;4819
53;4899
54;4973
55;5051
56;5128
57;5206
58;5281
59;5355
60;5423
61;5489
62;5550
63;5608
64;5670
65;5733
66;5797
67;5861
68;5926
69;5986
70;6052
71;6113
72;6172
73;6235
74;6297
75;6351
76;6415
77;6480
78;6542
79;6592
80;6628
81;6663
82;6694
83;6726
84;6763
85;6795
86;6835
87;6871
88;6911
89;6943
90;6980
91;7013
92;7046
93;7073
94;7106
95;7131
96;7166
97;7194
98;7211
99;7196
100;7186
101;7162
102;7141
103;7124
104;7118
105;7112
106;7120
107;7103
108;7112
109;7108
110;7104
111;7102
112;7090
113;7096
114;7088
115;7076
116;7065
117;7042
118;6984
119;6905
120;6819
121;6748
122;6677
123;6606
124;6538
125;6477
126;6421
127;6375
128;6321
129;6280
130;6230
131;6170
132;6118
133;6056
134;5987
135;5940
136;5871
137;5794
138;5678
139;5537
140;5389
141;5242
142;5100
143;4981
144;4872
145;4763
146;4658
147;4562
148;4462
149;4378
150;4282
151;4208
152;4130
153;4058
154;3964
155;3880
156;3764
157;3641
158;3489
159;3364
160;3222
161;3110
162;2995
163;2884
164;2773
165;2667
166;2597
167;2518
168;2447
169;2380
170;2309
171;2214
172;2146
173;2094
174;2040
175;1968
176;1893
177;1793
178;1690
179;1582
180;1465
181;1384
182;1316
183;1236
184;1174
185;1126
186;1066
187;1024
188;999
189;954
190;917
191;879
192;855
193;828
194;802
195;772
196;745
197;679
198;650
199;620
200;591
201;562
202;542
203;532
